Name,Type,Move Power,Move Time,PP,Duration,Range,Description,Scaling,Save
Magnitude,Ground,STR ,1 action,5,Instantaneous,Self (30ft radius),"You shake the ground with an earth-shattering quake. All creature in range must make a DEX save against your Move DC_ taking half damage on a success and full damage on a fail. Creatures in range that are burrowed or in the invulnerable stage of Dig take double damage from this move. Roll a d100 on the table below to determine damage. Raised creatures are immune to the effects and damage of this move.
- 
| d100  | Damage |
|:---:|:-----------:|
|  01-05  | 1d4+MOVE |
|  06-15  | 1d8+MOVE |
|  16-35  | 1d10+MOVE |
|  36-65  | 1d12+MOVE |
|  66-85  | 2d6+MOVE |
|  86-95  | 2d8+MOVE |
|  96-100  | 2d12+MOVE |",Higher Levels: For damage rolls_ use 2x Dice at level 5_ 3x Dice at level 10_ and 4x Dice at level 17.,DEX
Mat Block,Fighting,Missing,1 action,3,Instantaneous,Self (15ft radius),You conjure up a ethereal_ protective mat to shield you and your allies. Until the end of your next turn_ any ally creature within 15 feet of you (including you) is immune to damage from damaging moves. Status-inducing moves can still affect their targets.,Missing,Missing
Me First,Normal,Missing,1 reaction,3,Instantaneous,40ft,When targeted by or forced to make a saving throw from a single-target move_ you may use your reaction to copy the creature's move against it_ after activation but before the effects. If the move requires an attack roll_ you have disadvantage on the attack. If the move requires a saving throw_ the target has advantage on the roll. If the move causes damage_ double the damage dice. The damage/effect tier for the move is based off of your level_ not the target's.,Missing,Missing
Mean Look,Normal,STR CHA ,1 action,3,3 rounds,50ft,You flash an intimidating look at a target_ attempting to freeze them in fear. Force a target in range to make a WIS save against your Move DC. On a fail_ the target cannot flee or be switched out for 3 rounds.,Missing,WIS
Meditate,Psychic,Missing,1 action,5,1 minute_ Concentration,Self,You become one with your inner self. For the duration_ you gain +1 to attack rolls and saving throws.,Higher Levels: The bonus changes to +2 at level 5_ +3 at level 10_ and +4 at level 17.,Missing
Mega Drain,Grass,STR DEX ,1 action,10,Instantaneous,50ft,You attempt to drain the life force of a target. Make a ranged attack on a target_ doing grass damage on a hit. Half of the damage dealt is restored to the user.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Mega Kick,Normal,STR ,1 action,10,Instantaneous,Melee,You strike out with a hard kick. Make a melee attack against a target_ doing normal damage on a hit.,Higher Levels: The damage dice roll for this move changes to 3d8 at level 5_ 4d10 at level 10_ and 7d8 at level 17.,Missing
Mega Punch,Normal,STR ,1 action,15,Instantaneous,Melee,You strike out with a hard punch Make a melee attack against a target_ doing normal damage on a hit.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,Missing
Megahorn,Bug,STR DEX ,1 action,5,Instantaneous,Melee,You charge at a creature for a devastating horn attack. Make a melee attack roll_ doing bug damage on a hit. If you moved 20 feet or more straight towards a target_ immediately before activating this move_ force a creature to make a STR save against your Move DC or be knocked prone.,Higher Levels: The damage dice roll for this move changes to 3d8 at level 5_ 4d10 at level 10_ and 7d8 at level 17.,STR
Memento,Dark,Missing,1 action,3,2 rounds,Melee,You sacrifice your life force to leave a lasting mark on a target. When you activate this move_ you touch a creature and drop to 0 hit points. As a result_ the target is incapacitated for 2 rounds. All attacks against it have advantage_ it automatically fails all STR and DEX saving throws by the maximum amount_ and it cannot attack_ move_ flee_ or be switched out.,Missing,Missing
Metal Burst,Steel,STR DEX ,1 reaction,3,Instantaneous,Melee,You lash out in retaliation with a bust of harsh metal shards. As a reaction_ when you are hit with a melee attack that deals damage_ make a melee attack roll against your attacker_ with disadvantage. On a hit_ deal the same amount of steel type damage back at your attacker (maximum of 5x your current level).,Missing,Missing
Metal Claw,Steel,STR ,1 action,10,Instantaneous,Melee,You strike out with sharp claws. Make a melee attack roll against a creature_ doing steel damage on a hit. If the natural attack roll is 19 or 20_ your next attack gets an additional +1 to hit.,Higher Levels: The damage dice roll for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,Missing
Metal Sound,Steel,STR DEX ,1 action,5,1 round,50ft,You emit an ear-shattering high pitched sound that only your target can hear_ leaving them in a defenseless state. When activating this move_ a target must make a CON saving throw against your Move DC. On a failure_ all attack rolls against the target are given a +5 bonus until the end of your next turn.,Missing,CON
Meteor Mash,Steel,STR DEX ,1 action,5,Instantaneous,Melee,You smash a creature with a fist as fast as a meteor strike. Make a melee attack against a creature_ doing steel damage on a hit. If the natural attack roll is 18 or higher_ your next attack has advantage.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Metronome,Normal,Varies ,1 action,5,Varies,Varies,You summon a move at random to inflict against a creature. When you use this move_ roll a d100. The resulting number is the TM number for the move you make. If the move is unable to be completed because of positioning_ range_ etc._ Metronome fails.,Missing,Missing
Milk Drink,Normal,CON ,1 action,5,Instantaneous,10ft,You create a tasty drink that heals your or an ally's wounds. The recipient gains hit points.,Higher Levels: The dice roll for this move changes to 3d6 at level 5_ 5d6 at level 10_ and 8d6 at level 17.,Missing
Mimic,Normal,Missing,1 action,5,1 minute_ Concentration,120ft,You copy another creature's movements_ learning its ways in battle. When used_ this move is temporarily replaced by your choice of one of the target's moves. The target can be an ally. After one PP is subtracted to use this move_ the replacement move will retain Mimic's remaining PP. The user can select any of the target's moves to copy for the duration.,Missing,Missing
Mind Blown,Fire,DEX CON ,1 action,3,Instantaneous,Self (15ft radius),You fill your head with hot fire that explodes around you. Force all creaatures within 15 feet of you to make a DEX save against your Move DC_ taking fire damage on a failure_ or half as much on a success. After activating this move_ you take an amount of typless damage equal to the full damage as if you failed the save.,Higher Levels: The damage dice roll for this move changes to 5d6 at level 5_ 6d8 at level 10_ and 6d12 at level 17.,DEX
Mind Reader,Normal,Missing,1 action,3,Instantaneous,Self,You sense the motives and moves of a creature around you. When this move is activated_ a single attack roll you make next turn is guaranteed to hit. You may roll to see if you crit or cause an effect from a high roll. This move does not affect one-shot moves like Fissure_ Guillotine_ etc.,Missing,Missing
Minimize,Normal,Missing,1 action,5,1 minute_ Concentration,Self,You appear smaller to your creatures_ increasing your evasion. For the duration_ you gain an additional +2 to your AC.,Missing,Missing
Miracle Eye,Psychic,WIS INT ,1 action,20,1 minute,50ft,You flash your eyes at the target_ stunning them briefly and lowering their defenses. When activating this move_ choose a target in range and force them to make a WIS save against your Move DC. On a failure_ any modifiers to their AC are reset_ and if they are Dark or Ghost-type_ their immunities are relinquished for the duration. If_ when losing immunity_ the target's secondary type gives it vulnerability or resistance to an attack of that type_ it follows the secondary type for that effect.,Missing,WIS
Mirror Coat,Psychic,CON WIS ,1 reaction,3,Instantaneous,40ft,When subject to a ranged attack_ you can attempt to decrease the damage and send some back at the attacker in range. Using this reaction_ the damage is decreased by . If this causes the damage to fall below zero_ the attack is deflected and you may make a ranged attack roll to send it back at the attacker for psychic damage.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Mirror Move,Flying,Varies ,1 action,10,Instantaneous,50ft,You mimic a target that you can see_ in range. When you activate this move_ choose a target in range and fully execute the most recent move used by the creature_ using your own ability scores_ level_ and typing for saving throw DC_ attack_ and damage.,Missing,Missing
Mirror Shot,Steel,STR DEX ,1 action,5,Instantaneous,40ft,You loose a damaging flash of light from your polished body. Make a ranged attack on a creature_ dealing steel damage on a hit. On a hit_ the target must make a CON save against your Move DC. On a failure_ the target has disadvantage on its next attack roll.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,CON
Mist Ball,Psychic,DEX WIS ,1 action,5,Instantaneous,100ft,You fire an explosive ball of damaging mist at a creature in range. Make a ranged attack against a target_ doing psychic damage on a hit. If the natural attack roll is higher than 10_ the target has disadvantage on any attack it makes before the end of its next turn..,Higher Levels: The damage dice roll for this move changes to 4d10 at level 5_ 6d10 at level 10_ and 8d12 at level 17.,Missing
Mist,Ice,Missing,1 action,15,1 minute,30ft,A light mist surrounds a target_ offering a protective barrier. The target is immune to negative stat changes for the duration_ but any current effects are still in place.,Missing,Missing
Misty Terrain,Fairy,Missing,1 action,5,3 rounds,Self (60ft radius),You cover the ground in a thin_ healing mist that surrounds a 120 foot circle_ centered on you. For 3 turns_ no grounded creatures inside the mist can suffer from new status conditions. Grounded creatures are those that do not have a flying speed or Levitate_ Magnet Rise_ or similar ability.,Missing,Missing
Moonblast,Fairy,DEX CHA ,1 action,10,Instantaneous,30ft,You summon forth a powerful moonbeam that strikes a creature. Make a ranged attack on a target in range_ dealing fairy damage on a hit. On a natural attack roll of 15 or more_ the target has disadvantage on its next attack.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Moongeist Beam,Ghost,DEX WIS ,1 action,5,Instantaneous,Self (100ft line),You emit a sinister ray that explodes out from you in a 100 foot line_ 5 feet wide. All creatures caught in the blast must make a DEX save against your Move DC_ taking ghost damage on a failure or half as much on a success. This attack ignores any of the creatures abilities that would affect the user's ability to hit or deal full damage.,Higher Levels: The damage dice roll for this move changes to 4d10 at level 5_ 6d10 at level 10_ and 8d12 at level 17.,DEX
Moonlight,Fairy,WIS CHA ,1 action,3,Instantaneous,Self,A ray of moonlight shines upon you_ basking you in healing light. The user gains hit points. If this move is activated during the day_ halve the total healing.,Higher Levels: The dice roll for healing changes to 3d10 at level 5_ 7d6 at level 10_ and 8d8 at level 17.,Missing
Morning Sun,Normal,WIS CHA ,1 action,3,Instantaneous,Self,A ray of sunlight shines upon you_ basking you in healing light. The user gains hit points. If this move is activated at night_ halve the total healing.,Higher Levels: The healing dice roll for this move changes to 3d10 at level 5_ 7d6 at level 10_ and 8d8 at level 17.,Missing
Mud Bomb,Ground,STR DEX ,1 action,5,Instantaneous,40ft,You throw a hard-packed mud ball at a creature. Make a ranged attack_ dealing ground damage on a hit. On a hit_ the target must make a CON save against your Move DC. On a failure_ the target has disadvantage on its next attack roll. If activating a move that requires a save_ the target(s) have advantage.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,CON
Mud Shot,Ground,DEX ,1 action,10,Instantaneous,60ft,You fire a glob of mud at a creature_ dealing damage with a chance to hinder the target's movement. Make a ranged attack against a creature in range_ dealing ground damage on a hit. If the natural attack roll is higher than 15_ the target's speed becomes 0 until the end of its next turn.,Higher Levels: The damage dice roll for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,Missing
Mud Sport,Ground,Missing,1 action,10,1 minute,Self (5ft radius),You cover yourself and all allies around you with thick mud_ reducing the amount of electric damage taken for anyone affected. For the duration_ you and any ally in range (when you initially activated this move) have resistance to electric-type attacks. If you were already resistant_ you are now immune. If you were vulnerable_ you now take regular damage. If you are immune to electric-type moves already_ nothing happens.,Missing,Missing
Mud-Slap,Ground,STR DEX ,1 action,5,Instantaneous,40ft,You hurl mud at a target in range. Make a ranged attack roll_ doing ground damage on a hit. On a hit_ the target adds -1 to its attack rolls for the rest of the encounter. This decrease may be stacked_ up to a maximum of -5 to hit. The target may take an action to remove any mud from its face_ resetting the effect.,Higher Levels: The damage dice roll for this move changes to 2d4 at level 5_ 1d12 at level 10_ and 4d4 at level 17.,Missing
Muddy Water,Water,DEX CON ,1 action,5,Instantaneous,30ft,You fire a stream of muddy water at a creature in range. Make a ranged attack against a creature_ dealing water damage. If the natural attack roll is 15 or higher_ the target has disadvantage on its next attack.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Multi-Attack,Varies,STR DEX ,1 action,5,Instantaneous,Melee,You strike out with inner power_ depending on your type. Make a melee attack on a target_ dealing damage of your current type.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Mystical Fire,Fire,DEX ,1 action,5,Instantaneous,30ft,You summon forth a pair of mystical flames that dance around a target_ dealing damage. Make a ranged attack roll against a target_ dealing fire damage on a hit. If the target is hit with this attack_ any attack roll it makes before the end of its next turn is rolled at disadvantage.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 2d12 at level 10_ and 6d6 at level 17.,Missing
Nasty Plot,Dark,Missing,1 action,10,1 minute_ Concentration,Self,You stimulate your brain with nasty thoughts. For the duration_ you have advantage on any attacks with the Wisdom_ Intelligence_ or Charisma move power. If the attack requires a Wisdom_ Intelligence_ or Charisma saving throw_ the target has disadvantage.,Missing,Missing
Natural Gift,Varies,STR DEX ,1 action,10,Instantaneous,40ft,You draw in power from your held berry_ releasing it into a ranged attack. Make a ranged attack_ dealing damage on a hit. The type is dependant on what berry you are holding_ according to the chart below: <div style='column-count:2'> | Type | Berry| |:---:|:-----------:| | Normal | Chilan | | Fire | Cherri_ Occa | | Water | Chesto_ Passho | | Electric | Pecha_ Waccan | | Grass | Rawst_ Rindo | | Ice | Aspear_ Yache | | Fighting | Leppa_ Chople | | Poison | Oran_ Kebia | | Ground | Persim_ Shucca | | Type | Berry | |:---:|:-----------:| | Flying | Lum_ Coba | | Psychic | Sitrus_ Payapa | | Bug | Tanga | | Rock | Charti | | Ghost | Kasib | | Dragon | Haban | | Dark | Colbur | | Steel | Babiri_ Razz | | Fairy | Roseli | </div>,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 2d12 at level 10_ and 6d6 at level 17.,Missing
Nature Power,Normal,Varies ,1 action,10,Varies,Varies,"You call upon the powers of nature nearby and activate a move based on the terrain. The DM gets final say on what move you activate_ but here are example terrain types:

| Terrain  | Move |
|:---:|:-----------:|
|  Cities/Roads/Buildings  | Swift |
|  Sandy areas  | Earthquake |
|  Volcanoes/Lava areas  | Fire Blast |
|  Caves_ Dark areas  | Shadow Ball |
|  Rocky terrain_ Mountains  | Rock Slide |
|  Fields_ Plains  | Stun Spore |
|  Forests_ Tall Grasslands  | Razor Leaf |
|  Ponds/Swamps  | Bubble Beam |
|  At sea | Surf |
|  Underwater | Hydro Pump |
|  Snowy | Blizzard |",Missing,Missing
Nature's Madness,Fairy,WIS CHA ,1 action,3,Instantaneous,40ft,You harness all the power of nature and send it at a creature in range. The target must make a CON save against your Move DC. On a failed save_ the target loses half their current HP (minimum of 1 damage).,Missing,CON
Needle Arm,Grass,DEX ,1 action,10,Instantaneous,Melee,Your arms turn to jagged_ thorny needles as you strike a creature. Make a melee attack on a creature_ dealing grass damage on a hit. If the natural attack roll is a 15 or more_ the target flinches.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Night Daze,Dark,DEX WIS ,1 action,5,Instantaneous,40ft,A pitch black shockwave of dark energy rushes towards a target. Make a ranged attack roll_ dealing dark damage on a hit. If the natural attack roll is 13 or more_ the target rolls its next attack with disadvantage. If it activates a move that requires a saving throw_ the target(s) have advantage on the roll.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,Missing
Night Shade,Ghost,WIS INT ,1 action,10,Instantaneous,60ft,You hit a target with a necrotic wave of dark energy. Make a ranged attack against a target. On a hit_ the ghost damage is equal to + the user's level.,Higher Levels: The damage dice roll for this move changes to 2d4+Level at level 5_ 1d12+Level at level 10_ and 4d4+Level at level 17.,Missing
Night Slash,Dark,STR DEX ,1 action,10,Instantaneous,Melee,You slash out at a creature with dark power. Make a melee attack_ dealing dark damage on a hit. This attack scores a critical hit on natural attack rolls of 19 or 20.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 2d12 at level 10_ and 6d6 at level 17.,Missing
Nightmare,Ghost,WIS CHA ,1 action,10,Instantaneous,Self (60ft radius),You create a horrible nightmare in the mind of any sleeping creature in a 120 foot circle around you_ inflicting ghost damage automatically. This move does not wake a sleeping creature.,Higher Levels: The damage dice roll for this move changes to 4d6 at level 5_ 5d6 at level 10_ and 6d6 at level 17.,Missing
Noble Roar,Normal,STR CHA ,1 reaction,3,Instantaneous,Self,You let out a stunning roar that intimidates a target. When targeted by an attack_ use this reaction to impose disadvantage on the attack roll.,Missing,Missing
Nuzzle,Electric,DEX ,1 action,10,Instantaneous,Melee,You touch a creature with your electrified cheeks_ sending electricity coursing through their veins. Make an attack roll against a creature. On a hit_ the target takes electric damage and is forced to make a CON save against your Move DC_ becoming paralyzed on a failure.,Higher Levels: The damage dice roll for this move changes to 2d4 at level 5_ 1d12 at level 10_ and 4d4 at level 17.,CON
Oblivion Wing,Flying,STR DEX ,1 action,5,Instantaneous,60ft,You extend your wings and use a dark beam of energy to absorb the target's life force. Make a ranged attack against a creature_ dealing flying damage on a hit_ recovering your own hit points by the amount of damage dealt.,Higher Levels: The damage dice roll for this move changes to 5d6 at level 5_ 4d12 at level 10_ and 8d8 at level 17.,Missing
Octazooka,Water,STR DEX ,1 action,5,Instantaneous,30ft,You send a blast of ink towards your creatures. Make a ranged attack roll_ doing water damage on a hit. If the natural attack roll is 18 or more_ the target must add -1 to attack rolls for the remainder of this combat.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Odor Sleuth,Normal,Missing,1 action,3,1 minute_ Concentration,30ft_ Self,When you activate this move_ choose a target in range. For the duration_ the target cannot activate any move that would increase its AC. If it has already activated such a move_ the effect ends immediately. In addition_ for the duration_ no creature in range has immunity to your Ghost_ Normal_ or Fighting-type moves.,Missing,Missing
Ominous Wind,Ghost,WIS DEX ,1 action,3,Instantaneous,40ft,You stir up a gust of repulsive wind that strikes a creature in range. Make a ranged attack_ dealing ghost damage on a hit. On a natural attack roll of 19 or 20_ increase all of your ability scores by +1 while you remain in battle.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Origin Pulse,Water,STR DEX ,1 action,5,Instantaneous,100ft,Your body glows a bright and brilliant blue_ sending three beams of focused light at any creature(s) in range. Make a ranged attack for each beam_ dealing water damage on each successful hit.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Outrage,Dragon,STR ,1 action,3,3 rounds_ Concentration,Melee,You go into a rampage_ doing several attacks without control for three rounds. This move automatically hits for dragon damage in the first round_ dragon damage in the second round_ and dragon damage in the third round. When this move ends_ either after the third round or from breaking concentration_ you become confused. This attack stops if concentration is broken_ or the user becomes incapacitated.,Higher Levels: The dice used for this move changes to a d8 at level 5_ a d10 at level 10_ and a d12 at level 17.,Missing
Overheat,Fire,STR CON ,1 action,3,Instantaneous,Self (15ft radius),With a roar_ flames burst from your body in a 30 foot circle_ centered on you. Any creature in range must roll a DEX saving throw against your Move DC_ taking fire damage on a failure_ or half as much on a success. The power of the move exhausts you_ and your next attack is done at disadvantage. If your next attack requires a creature saving throw_ they have advantage.,Higher Levels: The damage dice roll for this move changes to 3d10 at level 5_ 5d8 at level 10_ and 8d8 at level 17.,DEX
Pain Split,Normal,CON CHA ,1 action,3,Instantaneous,30ft,You split pain from your injuries with your attacker. Target a creature in range_ forcing them to make a CON save against your Move DC. On a fail_ both you and your attacker change your current health points to the average of the two. If this causes either creature to go above maximum health_ they take their maximum health instead.,Missing,CON
Parabolic Charge,Electric,STR DEX ,1 action,10,Instantaneous,Self (30ft radius),A sweeping electric charge arcs around you_ stealing some of the target's energy. Force all creatures in a 60 foot circle_ centered on you_ to make a CON save against your Move DC_ taking electric damage on a failure. Recover hit points equal to half the total damage dealt_ but no more than 5 times your level.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,CON
Parting Shot,Dark,CHA ,1 bonus action,10,Instantaneous,50ft,You deliver a brutal parting threat just before switching out. Force a creature in range to make a WIS save against your Move DC_ then switch out immediately. On a failure_ the target deals half damage on their next turn if using a damaging move.,Missing,WIS
Pay Day,Normal,STR DEX CHA ,1 action,10,Instantaneous,Melee,You strike a target_ causing it to shake out its purse. Make a melee attack_ doing normal damage on a hit. In addition_ 10x the user's level in cash is scattered on the floor until the end of combat. This release of funds can only occur once per target per combat.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Payback,Dark,STR DEX ,1 action,5,Instantaneous,Melee,You strike hard in retaliation. Make a melee attack_ dealing dark damage on a hit. If the target damaged you on the turn immediately before yours_ double the dice roll for the damage of this attack.,Higher Levels: The damage dice roll for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,Missing
Peck,Flying,STR DEX ,1 action,20,Instantaneous,Melee,You hammer down on a target with a peck attack. Make a melee attack roll on a target_ doing flying damage on a successful hit.,Higher Levels: The damage dice roll for this move changes to 1d10 at level 5_ 2d8 at level 10_ and 5d4 at level 17.,Missing
Perish Song,Normal,CHA ,1 action,3,3 rounds,Self (80ft line),You perform a song with devastating consequences to creatures that hear it. All creatures in range (including you) must make a CON saving throw against your Move DC. For any that fail_ they faint in 3 rounds_ on their turn_ unless fleeing or switched out by their trainer before the end of the three rounds.,Missing,CON
Petal Blizzard,Grass,DEX ,1 action,10,Instantaneous,Self (30ft radius),You stir up a blizzard of sharp petals that swirl around you. Any creature in a 60 foot circle_ centered on you_ must make a DEX save against your Move DC_ taking grass damage on a failure_ or half as much on a success.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,DEX
Petal Dance,Grass,DEX CHA ,1 action,5,Instantaneous,80ft,You dance around_ releasing a flurry of sharp leaf attacks against a creature in range. Make a ranged attack roll_ dealing grass damage on a hit. On the following turn_ you may choose to use this action again to hit automatically_ but if you do_ you become confused at the end of your turn.,Higher Levels: The damage dice rolls for this move change to 2d6 at level 5_ 3d6 at level 10_ and 4d6 at level 17.,Missing
Phantom Force,Ghost,DEX WIS ,1 action,3,Instantaneous,Melee,You disappear from view and prepare to surprise your target with an attack. When you activate this move_ you become invisible and immune to any attacks of opportunity. You cannot be targeted by attacks while you are invisible. On your next turn_ you use your action to reappear and make a melee attack against a creature_ with advantage_ dealing ghost damage on a successful hit. Protect and Detect reactions may not be used when hit by this attack.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Photon Geyser,Psychic,STR WIS ,1 action,5,Instantaneous,100ft,A pillar of light erupts from the ground in a 20ft radius_ 80ft high cylinder centered on a point in range. Any creature caught in the blast must make a DEX save against your Move DC_ taking psychic damage on a failed save_ or half as much on a success. This move ignores any of the creatures abilities that would affect the user's ability to hit or deal full damage.,Higher Levels: The damage dice roll for this move changes to 4d10 at level 5_ 6d10 at level 10_ and 8d12 at level 17.,DEX
Pin Missile,Bug,DEX ,1 action,10,Instantaneous,60ft,You strike a creature with sharp projectiles in quick succession. Make a ranged attack roll_ doing bug damage on a hit. After successfully hitting a target_ roll a d4. On a result of 3 or 4_ another projectile hits again for an additional bug damage. Continue this process until you fail to roll a 3 or 4 on the d4 roll_ up to a maximum of four additional hits.,Higher Levels: The damage dice rolls for this move change to 2d4 at level 5_ 1d12 at level 10_ and 4d4 at level 17.,Missing
Plasma Fists,Electric,STR DEX ,1 action,5,Instantaneous,Melee,You charge up your firsts with electricity and lash out at a target. Make a melee attack_ dealing electric damage on a hit. On a hit_ both you and your target's normal-type moves become electric-type until the end of your next turn.,Higher Levels: The damage dice roll for this move changes to 2d12 at level 5_ 4d8 at level 10_ and 8d6 at level 17.,Missing
Play Nice,Normal,CHA ,1 action,10,Instantaneous,30ft,You convince a creature that you mean it no harm. Force a creature to make a CHA saving throw against your Move DC. On a failure_ any attack the target makes on its next turn is rolled at disadvantage. If the target activates a move that requires a saving throw_ you have advantage on the roll.,Missing,CHA
Play Rough,Fairy,STR DEX CHA ,1 action,5,Instantaneous,Melee,You fake a creature out with a playful attack that quickly becomes too rough. Make a melee attack against a creature_ dealing fairy damage on a hit. On natural attack rolls of 19 or 20_ the target adds -1 to any attack it makes for the remainder of combat. This effect can be stacked to a maximum of -5 to hit.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Pluck,Flying,DEX ,1 action,10,Instantaneous,Melee,You peck at a target_ attempting to grab their held berry. Make a melee attack on a creature_ dealing flying damage on a hit. On a hit_ if the target is holding a berry_ you swallow it immediately and gain its effect.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 5d4 at level 10_ and 4d8 at level 17.,Missing
Poison Fang,Poison,STR DEX ,1 action,10,Instantaneous,Melee,You lash forward with poisonous venom. Make a melee attack roll against a creature_ dealing poison damage on a hit_ forcing the target to make a CON save against your Move DC. On a failure_ the creature is poisoned. A creature poisoned by this move takes double the normal poison damage at the end of each of its turns.,Higher Levels: The damage dice roll for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,CON
Poison Gas,Poison,CON ,1 action,10,1 round,30ft,You create a fog of poisonous gas in a 15 foot radius_ centered on a point within range. Creatures that begin their turn in the area take poison damage and must succeed on a CON save against your Move DC or become poisoned. The gas cloud dissipates at the beginning of your next turn.,Higher Levels: The damage dice roll for this move changes to 1d6 at level 5_ 1d8 at level 10_ and 2d6 at level 17.,CON
Poison Jab,Poison,STR DEX ,1 action,10,Instantaneous,Melee,You stab a creature with an appendage steeped in poison. Make a melee attack on a creature_ dealing poison damage on a hit. On a natural attack roll of 16 or higher_ the target is poisoned.,Higher Levels: The damage dice roll for this move changes to 2d8 at level 5_ 4d6 at level 10_ and 6d6 at level 17.,Missing
Poison Powder,Poison,CON ,1 action,20,Instantaneous,40ft,You release a cluster of poisonous spores that burst into the air above a target. The creature must succeed on a CON save against your Move DC_ becoming poisoned on a fail.,Missing,CON
Poison Sting,Poison,STR DEX ,1 action,15,Instantaneous,Melee,You strike out at a creature with a poisonous sting. Make a melee attack roll against a target_ doing poison damage on a hit. If the natural attack roll is 18 or more_ the creature is poisoned.,Higher Levels: The damage dice roll for this move changes to 1d6 at level 5_ 1d8 at level 10_ and 2d6 at level 17.,Missing
Poison Tail,Poison,STR DEX ,1 action,15,Instantaneous,Melee,Poisonous barbs sprout from your tail as you swing it at a creature. Make a melee attack against a creature_ dealing poison damage on a hit. If the natural attack roll is a 19 or 20_ the move scores a critical hit and the target is poisoned.,Higher Levels: The damage dice roll for this move changes to 2d6 at level 5_ 4d4 at level 10_ and 3d10 at level 17.,Missing
Pollen Puff,Bug,DEX CON ,1 action,10,Instantaneous,30ft,You send forth a flurry of pollen at a target in range. Make a ranged attack roll_ dealing bug damage on a hit. If the target is an ally_ this move automatically hits and heals for the amount of damage instead.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
Pound,Normal,STR DEX ,1 action,20,Instantaneous,Melee,You crush a creature with a pound attack. Make a melee attack roll against a target_ doing normal damage on a hit.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Powder Snow,Ice,DEX ,1 action,15,Instantaneous,40ft,You send a blast of cold snow at a creature. Make a ranged attack roll on a creature_ doing ice damage on a hit. If the natural attack roll is 18 or higher_ the target is frozen.,Higher Levels: The damage dice roll for this move changes to 1d12 at level 5_ 2d8 at level 10_ and 4d6 at level 17.,Missing
Powder,Bug,CON ,1 reaction,5,Instantaneous,30ft,You quickly coat a creature in an explosive powder. When a creature in range activates a fire-type move_ you may use your reaction to release a spray of flammable powder that explodes and automatically deals typeless damage to the target.,Higher Levels: The damage dice roll for this move changes to 2d10 at level 5_ 3d10 at level 10_ and 4d12 at level 17.,Missing
